time,buyDex,buy,sellDex,sell,spreadPct,gasDAI,netProfitDAI,currentBalance,ethAmount
2025-05-29T04:34:29.421Z,Kyber,2748.449658,Uniswap V2,2755.41,0.17,2.23,0.0502,1000.05,0.327457
2025-05-29T04:34:29.729Z,Kyber,2748.449658,SushiSwap,2755.41,0.17,2.23,0.0503,1000.10,0.327474
2025-05-29T04:35:25.210Z,Kyber,2747.17171353378,Balancer,2756.0954093957375,0.23,2.73,0.1987,1000.30,0.327643
2025-05-29T04:35:25.578Z,Kyber,2747.17171353378,Uniswap V2,2755.41,0.22,2.31,0.3875,1000.69,0.327708
2025-05-29T04:36:16.780Z,Kyber,2744.8135320554215,Balancer,2756.0954093957375,0.31,2.73,0.9691,1001.66,0.328116
2025-05-29T04:36:17.392Z,Uniswap V2,2748,Balancer,2756.0954093957375,0.21,2.57,0.0886,1001.74,0.328053
2025-05-29T04:37:06.448Z,Kyber,2743.173620961067,Balancer,2756.0954093957375,0.37,2.84,1.4022,1003.15,0.328659

=== FINAL SUMMARY ===
Test Duration: 5.6 minutes
Starting Balance: 1000.00 DAI
Final Balance: 1003.15 DAI
Total Return: 0.31%
Trades Executed: 7
Gross Profit: 20.7864 DAI
Total Gas Cost: 17.6399 DAI
Net Profit: 3.1465 DAI
